漢字,羅馬字
面前,bīn-chêng
風俗,hong-sio̍k
食品,si̍t-phín
風度,hong-tō͘
風流,hong-liû
面盆,bīn-phûn
食穿,chia̍h-chhēng
食苦,chia̍h-khó͘
食食,chia̍h-si̍t
風飛沙,hong-poe-soa
食倯,chia̍h-sông
面容,bīn-iông
食家己,chia̍h-ka-kī
食桌,chia̍h-toh
香案,hiuⁿ-òaⁿ
風氣,hong-khì
飛烏,poe-o͘
香烌,hiuⁿ-hu
食祖,chia̍h-chó͘
風神,hong-sîn
食秤頭,chia̍h-chhìn-thâu
食堂,si̍t-tn̂g
面桶,bīn-tháng
食晝,chia̍h-tàu
食清領便,chia̍h-chheng-niá-piān
飛船,poe-chûn
香袋仔,hiuⁿ-tē-á
食軟驚硬,chia̍h-nńg-kiaⁿ-ngē/chia̍h-nńg-kiaⁿ-ngī
面頂,bīn-téng
飛鳥,poe-chiáu
風喙口,hong-chhùi-kháu
風湧,hong-éng
香港跤,hiong-káng-kha
風琴,hong-khîm
風筒,hong-tâng
香菇,hiuⁿ-ko͘
香菇肉糜,hiuⁿ-ko͘-bah-môe/hiuⁿ-ko͘-bah-bê
韭菜,kú-chhài
食菜,chia̍h-chhài
韭菜花,kú-chhài-hoe
風評,hong-phêng
食飯桌,chia̍h-pn̄g-toh
食飯廳,chia̍h-pn̄g-thiaⁿ
風勢,hong-sè
面會,biān-hōe
食暗,chia̍h-àm
香煙,hiuⁿ-ian
食補,chia̍h-pó͘
食補,si̍t-pó͘
風鼓,hong-kó͘
飛鼠,poe-chhí/poe-chhú
食福,chia̍h-hok
面貌,bīn-māu
風颱,hong-thai
首領,siú-léng
風颱尾,hong-thai-bóe/hong-thai-bé
風颱雨,hong-thai-hō͘
飛彈,hui-tôaⁿ
面憂面結,bīn-iu-bīn-kat
食漿,chia̍h-chiuⁿ
面模仔,bīn-bô͘-á
面熟,bīn-se̍k
風蔥,hong-chhang
音調,im-tiāu
食褒,chia̍h-po
風調雨順,hong-tiâu-ú-sūn
食醋,chia̍h-chhò͘
面積,bīn-chek
食膨餅,chia̍h-phòng-piáⁿ
食錢,chia̍h-chîⁿ
食錢官,chia̍h-chîⁿ-koaⁿ
風頭,hong-thâu
面頭前,bīn-thâu-chêng
食頭路,chia̍h-thâu-lō͘
風溼,hong-sip
風聲,hong-siaⁿ
食臊,chia̍h-chho
風聲嗙影,hong-siaⁿ-pòng-iáⁿ
食虧,chia̍h-khui
風霜,hong-song
風櫃,hong-kūi
食薰,chia̍h-hun
香爐,hiuⁿ-lô͘
風騷,hong-so
風灌,hong-koàn
修,siu
俺,án
倉,chhng
個,kò
倌,koaⁿ
倍,pōe
修正,siu-chèng
修行,siu-hēng
修改,siu-kái
修面,siu-bīn
倉庫,chhng-khò͘
修理,siu-lí
修補,siu-pó͘
俱樂部,khū-lo̍k-pō͘
修養,siu-ióng
修整,siu-chéng
倒,tó
倒,tò
倖,sēng
倚,óa
借,chioh
倩,chhiàⁿ
倯,sông
值,ta̍t
值,ti̍t
兼,kiam
冤,oan
准,chún
凊,chhìn
凍,tàng
凍,tòng
剔,thak
剝,pak
借人,chioh--lâng
冤仇,oan-siû
冤仇人,oan-siû-lâng
倒反,tò-péng
倒手,tò-chhiú
凊心,chhìn-sim
倒手爿,tò-chhiú-pêng
倒爿,tò-pêng
倒去,tò--khì
借用,chioh-iōng
剝皮,pak-phôe/pak-phê
兼任,kiam-jīm/kiam-līm
倒吊,tò-tiàu
倒向,tò-hiàⁿ
倚年,óa-nî
凊汗,chhìn-kōaⁿ
凍舌,tàng-chi̍h
倒店,tó-tiàm
冤屈,oan-khut
冤枉,oan-óng
凌治,lêng-tī
倩的,chhiàⁿ--ê
倚近,óa-kīn/óa-kūn
倒面,tò-bīn
冤家,oan-ke
冤家量債,oan-ke-niû-chè
值班,ti̍t-pan
候脈,hāu-me̍h
倒退,tò-thè
借問,chioh-mn̄g
冥婚,bêng-hun
值得,ta̍t-tit
凊彩,chhìn-chhái
倚晝,óa-tàu
倫理,lûn-lí
凍喙齒,tàng-chhùi-khí
倒貼,tò-thiap
凊飯,chhìn-pn̄g
倒剾,tò-khau
倒會仔,tó-hōe-á/tó-hē-á
候補,hāu-pó͘
借過,chioh-kòe/chioh-kè
倒摔向,tò-siàng-hiàⁿ
冤魂,oan-hûn
倒彈,tò-tōaⁿ
倒數,tó-siàu
倒踏,tò-ta̍h
倚靠,óa-khò
倚壁,óa-piah
倒擔,tó-tàⁿ
凌遲,lêng-tî
候選人,hāu-soán-jîn/hāu-soán-lîn
借錢,chioh chîⁿ
值錢,ta̍t-chîⁿ
倒頭,tò-thâu
倒頭行,tò-thâu-kiâⁿ
倒頭栽,tò-thâu-chai
凊糜,chhìn-môe/chhìn-bê
凍霜,tàng-sng
兼職,kiam-chit
倒覆,tò-phak
倒轉,tò-tńg
借蹛,chioh-tòa
凍露水,tàng-lō͘-chúi
兼顧,kiam-kò͘
勍,khiang
匪,húi
厝,chhù
員,oân
哥,ko
哩,--lih
哩,mai
哪,ná
哭,khàu
哹,pu
哺,pō͘
哼,haiⁿ
哼,--hngh
哽,kéⁿ
唅,--hahⁿ
唉,haih
唔,o͘ⁿ
唚,chim
唐山,Tn̂g-soaⁿ
原子筆,goân-chú-pit
厝內,chhù-lāi
哪毋,ná m̄
勍仔,khiang-á
厝主,chhù-chú
原本,goân-pún
哪未,ná bōe/ná bē
厝瓦,chhù-hiā
原在,goân-chāi
厝地,chhù-tē/chhù-tōe
厝宅,chhù-the̍h
原早,goân-chá
原位,goân-ūi
原告,goân-kò
原形,goân-hêng
厝角鳥仔,chhù-kak-chiáu-á
厝角頭,chhù-kak-thâu
哭呻,khàu-chhan
原底,goân-té/goân-tóe
哭爸,khàu-pē
哭爸哭母,khàu-pē-khàu-bú
原則,goân-chek
厝契,chhù-khè/chhù-khòe
哭枵,khàu-iau
哥哥,ko--koh
哼哼叫,haiⁿ-haiⁿ-kiò
唔唔睏,o͘ⁿ-o͘ⁿ-khùn
哩哩囉囉,li-li-lo-lo
原料,goân-liāu
原理,goân-lí
厝頂,chhù-téng
唚喙,chim-chhùi
厝稅,chhù-sòe/chhù-sè
哪著,ná-tio̍h
哽著,kéⁿ-tio̍h
哪會,ná ē
厝跤,chhù-kha
哭路頭,khàu-lō͘-thâu
原價,goân-kè
哭調仔,khàu-tiāu-á
原諒,goân-liōng
原頭,goân-thâu
厝頭家,chhù-thâu-ke
厝邊,chhù-piⁿ
厝邊頭尾,chhù-piⁿ-thâu-bóe/chhù-piⁿ-thâu-bé
匪類,húi-lūi
唷,--ioh
垺,pû
埋,bâi
埋,tâi
埔,po͘
埕,tiâⁿ
夏,hā
套,thò
娘,niâ
娘,niû
娘𡢃,niû-kán
埕斗,tiâⁿ-táu
娘仔,niû-á
娘仔絲,niû-á-si
娘仔葉,niû-á-hio̍h
娘仔樹,niû-á-chhiū
夏令營,hā-lēng-iâⁿ
娘仔繭,niû-á-kián
埔姜,po͘-kiuⁿ
娘娘,niû-niû
套話,thò-ōe
娘嬭,niû-lé
孫,sun
宮,keng
宮,kiong
害,hāi
家,ka
家,ke
容,iông
射,siā
屑,sut
展,tián
展,thián
屘,ban
島,tó/tó͘
崁,khàm
差,choa̍h
差,chha
差,chhe
師,sai
師,su
席,se̍k
座,chō
庫,khò͘
害了了,hāi-liáu-liáu
宮女,kiong-lí/kiong-lú
家己,ka-kī
家己人,ka-kī-lâng
容允,iông-ín/iông-ún
差不多,chha-put-to
師父,su-hū
孫仔,sun-á
屘仔,ban-á
師仔,sai-á
師兄,su-hiaⁿ
害去,hāi--khì
師母,su-bió
家甲,ke-kah
家伙,ke-hóe/ke-hé
屘囝,ban-kiáⁿ
家私,ke-si
家事,ka-sū
宵夜,siau-iā
師姑,su-ko͘
庫房,khò͘-pâng
家長,ka-tiúⁿ
家門,ka-mn̂g
展威,tián-ui
家後,ke-āu
展風神,tián-hong-sîn
家婆,ke-pô
家教,ka-kàu
差教,chhe-kà
崁頂,khàm-téng
師傅,sai-hū
孫婿,sun-sài
展開,thián-khui
宴會,iàn-hōe
崁跤,khàm-kha
師資,su-chu
崁蓋,khàm-kòa
容貌,iông-māu
庫銀,khò͘-gîn/khò͘-gûn
宮廟,keng-biō
射箭,siā-chìⁿ
師範的,su-hoān--ê
差錯,chha-chhò
庫錢,khò͘-chîⁿ
崁頭崁面,khàm-thâu-khàm-bīn
展翼,thián-si̍t
害蟲,hāi-thâng
差額,chha-gia̍h
家譜,ka-phó͘
展寶,tián-pó
展覽,tián-lám
弱,jio̍k/lio̍k
徒,tô͘
恁,lín
恥,thí
恩,in/un
恩,un
恭,kiong
扇,sìⁿ
拳,kûn
挈,khe̍h
挐,jû/lû
挨,e
挩,thoah
挨米,e-bí
徒弟,tô͘-tē
恐怖,khióng-pò͘
挩枋,thoah-pang
恁爸,lín-pē
挩門,thoah-mn̂g
扇面,sìⁿ-bīn
恁娘,lín-niâ
恥笑,thí-chhiò
恩情,un-chêng
挨推,e-the
挨絃仔,e hiân-á
恭喜,kiong-hí
挩窗,thoah-thang
恩愛,un-ài
挨粿,e-kóe/e-ké
挐氅氅,jû-chháng-chháng/lû-chháng-chháng
拳頭,kûn-thâu
拳頭拇,kûn-thâu-bú
拳頭師,kûn-thâu-sai
恐驚,khióng-kiaⁿ
挵,lòng
挺,tháⁿ
挼,jôe/lê
挽,bán
挾,gia̍p
挾,nge̍h
捀,phâng
捅,thóng
捆,khún
捋,loa̍h
捋,loah
捌,bat
捎,sa
捏,lia̍p
捏,tēⁿ/tīⁿ
捒,sak
捗,pô͘
捘,chūn
捙,chhia
揤,chhi̍h
敆,kap
效,hāu
料,liāu
旅,lí/lú
時,sî
晃,hóaⁿ
效力,hāu-le̍k
捀斗,phâng-táu
捀水,phâng-chúi
捋仔,loa̍h-á
時代,sî-tāi
車布邊,chhia pò͘-piⁿ
挽回,bán-hôe/bán-hê
捌字,bat-jī/bat-lī
旅行,lí-hêng/lú-hêng
時行,sî-kiâⁿ
敆作,kap-choh
捒走,sak-cháu
時辰,sî-sîn
捙拚,chhia-piàⁿ
旅社,lí-siā/lú-siā
挽花,bán hoe
挵門,lòng mn̂g
旅客,lí-kheh/lú-kheh
挽面,bán-bīn
時候,sî-hāu
時時,sî-sî
時時刻刻,sî-sî-khek-khek
捙畚斗,chhia-pùn-táu
挵破,lòng-phòa
挽脈,bán-me̍h
挽茶,bán tê
挽草,bán chháu
捀茶,phâng-tê
時陣,sî-chūn
捒做堆,sak-chò-tui/sak-chòe-tui
振動,tín-tāng
時常,sî-siông
挽救,bán-kiù
挵球,lòng-kiû
效率,hāu-lu̍t
敆痕,kap-hûn
料理,liāu-lí
捌貨,bat-hòe/bat-hè
敆逝,kap-chōa
挽喙齒,bán chhùi-khí
旅費,lí-hùi/lú-hùi
捙跋反,chhia-poa̍h-péng
時間,sî-kan
時勢,sî-sè
捌想,bat-siūⁿ
料想,liāu-sióng
料想袂到,liāu-sióng-bē-kàu/liāu-sióng-bōe-kàu
時運,sî-ūn
揤電鈴,chhi̍h tiān-lêng
挵鼓,lòng kó͘
挹墓粿,ip-bōng-kóe/ip-bō͘-ké
鍤箕,chhiah-ki
料算,liāu-sǹg
時價,sî-kè
捙盤,chhia-pôaⁿ
時機,sî-ki
捆縛,khún-pa̍k
捎錢,sa-chîⁿ
捅頭,thóng-thâu
旅館,lí-koán/lú-koán
捋頭毛,loa̍h thâu-mn̂g
敆縫,kap-phāng
捙輾斗,chhia-liàn-táu
敆藥仔,kap-io̍h-á
挵鐘,lòng cheng
時鐘,sî-cheng
捏麵尪仔,lia̍p-mī-ang-á
晏,òaⁿ
晟,chhiâⁿ
書,chu
書,su
朕,tīm
柴,chhâ
栓,sng
校,hāu
栱,kông
核,hu̍t
根,kin/kun
格,keh
栽,chai
桃,thô
框,kheng
框,khong
案,àn
桌,toh
柴㷮,chhâ-chau
柴刀,chhâ-to
栗子,la̍t-chí
校工,hāu-kang
校友,hāu-iú
栓仔,sng-á
格仔,keh-á
桃仔,thô-á
桌仔,toh-á
根本,kin-pún/kun-pún
桌布,toh-pò͘
案件,àn-kiāⁿ
桂竹,kùi-tek
桂竹筍,kùi-tek-sún
柴杙,chhâ-khi̍t
桑材,sng-châi
根底,kin-té/kun-tóe
案底,àn-té/àn-tóe
書房,chu-pâng
桐油,tâng-iû
校舍,hāu-sià
桂花,kùi-hoe
桃花,thô-hoe
柴門,chhâ-mn̂g
校長,hāu-tiúⁿ
書架仔,chu-kè-á
柴屐,chhâ-kia̍h
桌崁,toh-khàm
柴柴,chhâ-chhâ
柴梳,chhâ-se/chhâ-soe
柴砧,chhâ-tiam
柴耙,chhâ-pê
柴草,chhâ-chháu
核能,he̍k-lêng
晏起來,òaⁿ khí--lâi
栽培,chai-pôe
桌屜,toh-thoah
桌帷,toh-ûi
案情,àn-chêng
柴桶,chhâ-tháng
桌頂,toh-téng
柴魚,chhâ-hî/chhâ-hû
根節,kin-chat/kun-chat
桌裙,toh-kûn
桌跤,toh-kha
校對,kàu-tùi
柴寮,chhâ-liâu
晟養,chhiâⁿ-ióng
根據,kin-kì/kun-kù
柴頭,chhâ-thâu
桌頭,toh-thâu
柴頭尪仔,chhâ-thâu-ang-á
柴鍥,chhâ-keh/chhâ-koeh
桌櫃,toh-kūi
書櫥,chu-tû
桔,kiat
梳,se/soe
欱,hap
氣,khì
氣,khùi
浡,phū
浮,phû
海,hái
浸,chìm
氣力,khùi-la̍t
氣口,khùi-kháu
浪子,lōng-chú
海口,hái-kháu
海口腔,hái-kháu-khiuⁿ
浮冇,phû-phàⁿ
海水浴場,hái-chúi e̍k-tiûⁿ
桔仔,kiat-á
桔仔汁,kiat-á-chiap
桔仔餅,kiat-á-piáⁿ
浮石,phû-chio̍h
海瓜子,hái-koe-chí
浮沉,phû-tîm
海沙埔,hái-soa-po͘
氣身惱命,khì-sin-ló͘-miā
氣味,khì-bī
海味,hái-bī
海和尚,hái-hôe-siūⁿ
海岸,hái-hōaⁿ
海底,hái-té/hái-tóe
氣怫怫,khì-phut-phut
氣氛,khì-hun
海狗,hái-káu
浸柿,chìm-khī
海洋,hái-iûⁿ
海虼蚻,hái-ka-choa̍h
海面,hái-bīn
海風,hái-hong
海埔,hái-po͘
海島,hái-tó
海峽,hái-kiap
海海,hái-hái
海翁,hái-ang
海豹,hái-pà
浮動,phû-tāng
海參,hái-sim
泰國菝仔,Thài-kok-poa̍t-á
浮崙,phû-lūn
海帶,hái-tòa
浴桶,e̍k-tháng
海產,hái-sán
海產糜,hái-sán-môe/hái-sán-bê
海蛇,hái-chôa
海棠,hái-tông
海湧,hái-éng
海菜,hái-chhài
氣象,khì-siōng
浪費,lōng-hùi
海量,hái-liōng
浴間仔,e̍k-keng-á
氣概,khì-khài
海賊,hái-chha̍t
氣運,khì-ūn
海墘,hái-kîⁿ
海漲,hái-tiòng
海綿,hái-mî
氣數,khì-sò͘
海線,hái-sòaⁿ
海豬,hái-ti/hái-tu
氣魄,khì-phek
浪蕩,lōng-tōng
梳頭,se-thâu/soe-thâu
海龍王,Hái-lêng-ông
氣壓,khì-ap
海獺,hái-thoah
海鰻,hái-môa
海鱺仔,hái-lē-á
消,siau
烈,lia̍t
烌,hu
烏,o͘
烘,hang
爹,tia
狹,e̍h/oe̍h
烏𪐞紅,o͘-tò͘-âng
烏㽎㽎,o͘-sìm-sìm
烏人,o͘-lâng
烏仁,o͘-jîn/o͘-lîn
烏仁目鏡,o͘-jîn-ba̍k-kiàⁿ/o͘-lîn-ba̍k-kiàⁿ
消化,siau-hòa
消水,siau-chúi
烏手,o͘-chhiú
烏毛,o͘-mo͘
烏心石,o͘-sim-chio̍h
烏心肝,o͘-sim-koaⁿ
烏天暗地,o͘-thiⁿ-àm-tē/o͘-thiⁿ-àm-tōe
烘火,hang-hóe/hang-hé
消失,siau-sit
烏市,o͘-chhī
烏白,o͘-pe̍h
烏白來,o͘-pe̍h-lâi
烏名單,o͘-miâ-toaⁿ
烏有,o͘-iú
烏色,o͘-sek
烘肉,hang-bah
特色,te̍k-sek
烏耳鰻,o͘-hīⁿ-môa/o͘-hī-môa
烏西,o͘-se
特別,te̍k-pia̍t
消災解厄,siau-chai-kái-eh
烏豆,o͘-tāu
消防隊,siau-hông-tūi
消定,siau-tiāⁿ
烏枋,o͘-pang
烏枋拭仔,o͘-pang-chhit-á
烏油,o͘-iû
烏狗,o͘-káu
烏狗兄,o͘-káu-hiaⁿ
烏金,o͘-kim
烏青,o͘-chheⁿ/o͘-chhiⁿ
烏青凝血,o͘-chheⁿ gêng-hoeh/o͘-chhiⁿ gêng-huih
消毒,siau-to̍k
消風,siau-hong
烏面抐桮,o͘-bīn-lā-poe
消息,siau-sit
特效藥,te̍k-hāu-io̍h
烏格仔,o͘-keh-á
特殊,te̍k-sû
烏真珠,o͘-chin-chu
消除,siau-tû
烏骨雞,o͘-kut-ke/o͘-kut-koe
烏梅仔酒,o͘-môe-á-chiú/o͘-m̂-á-chiú
烏甜仔菜,o͘-tiⁿ-á-chhài
烏笛仔,o͘-ta̍t-á
烏陰,o͘-im
烏陰天,o͘-im-thiⁿ
烏魚,o͘-hî/o͘-hû
烏魚子,o͘-hî-chí/o͘-hû-chí
烏麻油,o͘-môa-iû
烏魚鰾,o͘-hî-piō/o͘-hû-piō
烏喙筆仔,o͘-chhùi-pit-á
烏斑,o͘-pan
烏棗,o͘-chó
狸猫,lî-bâ
烏焦瘦,o͘-ta-sán
烏痣,o͘-kì
消費,siau-hùi
消費者,siau-hùi-chiá
烏雲,o͘-hûn
烏塗,o͘-thô͘
烏暗,o͘-àm
烏暗眩,o͘-àm-hîn
消極,siau-ke̍k
消滅,siau-bia̍t
烏煙,o͘-ian
烏滓血,o͘-lái-hoeh/o͘-lái-huih
烏煙黗,o͘-ian-thûn
烏道,o͘-tō
烏漚,o͘-áu
烏漉肚,o͘-lok-tō͘
烏趖趖,o͘-sô-sô
消遣,siau-khián
烏墨,o͘-ba̍k
烏影,o͘-iáⁿ
烏璇石,o͘-soān-chio̍h
消瘦落肉,siau-sán-lo̍h-bah
烏蝛,o͘-bui
烏醋,o͘-chhò͘
烏鴉,o͘-a
烏魯木齊,o͘-ló͘-bo̍k-chè
烏鴉喙,o͘-a-chhùi
烏糖,o͘-thn̂g
烏糖粿,o͘-thn̂g-kóe/o͘-thn̂g-ké
烏貓,o͘-niau
烏貓姊仔,o͘-niau-chí--á
烏頭仔車,o͘-thâu-á-chhia
烏龜,o͘-ku
烏龜,o͘-kui
烏龍仔,o͘-liông-á
烏龍茶,o͘-liông-tê
烏甕串,o͘-àng-chhǹg
烏鯧,o͘-chhiuⁿ
烘爐,hang-lô͘
烏鶖,o͘-chhiu
特權,te̍k-khoân
狼,lông
珠,chu
班,pan
留,lâu
留,liû
畜,thek
泄,chhōa
疶,chhoah
疼,thiàⁿ
痀,ku
病,pēⁿ/pīⁿ
症,chèng
病人,pēⁿ-lâng/pīⁿ-lâng
畚斗,pùn-táu
珠仔,chu-á
畜生,thek-seⁿ/thek-siⁿ
泄尿,chhōa-jiō/chhōa-liō
病床,pēⁿ-chhn̂g/pīⁿ-chhn̂g
班長,pan-tiúⁿ
疶屎,chhoah-sái
疼某菜,thiàⁿ-bó͘-chhài
狼毒,lông-to̍k
病相思,pēⁿ-siuⁿ-si/pīⁿ-siuⁿ-si
狼狽,lông-pōe
病疼,pēⁿ-thiàⁿ/pīⁿ-thiàⁿ
病院,pēⁿ-īⁿ/pīⁿ-īⁿ
疼惜,thiàⁿ-sioh
病情,pēⁿ-chêng/pīⁿ-chêng
珠淚,chu-lūi
疲勞,phî-lô
疼痛,thiàⁿ-thàng
畚箕,pùn-ki
疳瘡,kam-chhng
珠蔥,chu-chhang
疳積,kam-chek
症頭,chèng-thâu
珠螺,chu-lê
珠螺膎,chu-lê-kê/chu-lê-kôe
珠寶,chu-pó
留戀,liû-loân
病體,pēⁿ-thé/pīⁿ-thé
盍,khah
真,chin
眠,bîn
眩,hîn
砧,tiam
破,phò
破,phòa
祖,chó͘
眠一下,bîn--chi̍t-ē
祖公,chó͘-kong
真心,chin-sim
祕方,pì-hng
破少年,phòa-siàu-liân
真正,chin-chiàⁿ
破布子,phòa-pò͘-chí
砧皮鞋,tiam-phôe-ê/tiam-phê-ôe
眠床,bîn-chhn̂g
眠床枋,bîn-chhn̂g-pang
眩車,hîn-chhia
真拄好,chin-tú-hó
破空,phòa-khang
破相,phòa-siùⁿ
祖厝,chó͘-chhù
破柴,phòa chhâ
破格,phòa-keh
祕書,pì-su
破格喙,phòa-keh-chhùi
真珠,chin-chu
破病,phòa-pēⁿ/phòa-pīⁿ
眨眨𥍉,chha̍p-chha̍p-nih
真情,chin-chêng
真理,chin-lí
破產,phò-sán
眩船,hîn-chûn
祕結,pì-kiat
破費,phò-hùi
破開,phòa--khui
破傷風,phò-siong-hong
祖傳祕方,chó͘-thoân pì-hng
祖媽,chó͘-má
破腹,phòa-pak
真誠,chin-chiâⁿ
眠夢,bîn-bāng
真實,chin-si̍t
祖廟,chó͘-biō
破膽,phòa-táⁿ
破雞筅,phòa-ke-chhéng/phòa-koe-chhéng
破壞,phò-hoāi
祝,chiok
神,sîn
祠,sû
租,cho͘
秤,chhìn
秧,ng
站,chām
笑,chhiò
粉,hún
納,la̍p
秤仔,chhìn-á
秧仔,ng-á
秮仔,tai-á
秤仔花,chhìn-á-hoe
神主牌仔,sîn-chú-pâi-á
神去,sîn--khì
秫米,chu̍t-bí
秫米飯,chu̍t-bí-pn̄g
神位,sîn-ūi
粉肝,hún-koaⁿ
笑咍咍,chhiò-hai-hai
神明,sîn-bêng
站長,chām-tiúⁿ
笑面虎,chhiò-bīn-hó͘
租厝,cho͘-chhù
笑容,chhiò-iông
神桌,sîn-toh
神神,sîn-sîn
笑桮,chhiò-poe
粉條,hún-tiâu
秧船,ng-chûn
粉鳥,hún-chiáu
納稅,la̍p-sòe/la̍p-sè
粉筆,hún-pit
祝賀,chiok-hō
粉圓,hún-îⁿ
神經,sîn-keng
站節,chām-chat
粉腸,hún-chhiâng
粉腸仔,hún-tn̂g-á
笑話,chhiò-ōe
笑詼,chhiò-khoe/chhiò-khe
神像,sîn-siōng
祝福,chiok-hok
粉粿,hún-kóe/hún-ké
紋銀,bûn-gîn/bûn-gûn
神魂,sîn-hûn
粉餅,hún-piáⁿ
笑談,chhiàu-tâm
秤頭,chhìn-thâu
笑頭笑面,chhiò-thâu-chhiò-bīn
秤錘,chhìn-thûi
粉蟯,hún-giô
神轎,sîn-kiō
純,sûn
紗,se
紙,chóa
級,kip
素,sò͘
紡,pháng
索,soh
缺,khih
缺,khoat
缺,khoeh/kheh
罟,ko͘
翁,ang
耙,pê
耙,pē
胮,hàng
胸,heng
紗仔,se-á
索仔,soh-á
罟仔,ko͘-á
耙仔,pê-á
紗仔衫,se-á-saⁿ
胳下空,koh-ē-khang
胸坎,heng-khám
胸坎骨,heng-khám-kut
紡車,pháng-chhia
缺角,khih-kak
紙坯,chóa-phoe/chóa-phe
紙枋,chóa-pang
純金,sûn-kim
翁某,ang-bó͘
耙柫,pê-put
素面,sò͘-bīn
素食,sò͘-si̍t
紙厝,chóa-chhù
紙扇,chóa-sìⁿ
紡紗,pháng-se
胭脂,ian-chi
胸掛骨,heng-kòa-kut
紙條,chóa-tiâu
紙票,chóa-phiò
紙袋仔,chóa-tē-á
缺喙,khih-chhùi
翁婿,ang-sài
純然,sûn-jiân/sûn-liân
紙牌,chóa-pâi
紗窗,se-thang
紙篋仔,chóa-kheh-á
素質,sò͘-chit
紙橐仔,chóa-lok-á
紙燈,chóa-teng
紙錢,chóa-chîⁿ
缺點,khoat-tiám
能,lêng
胿,kui
脆,chhè
脈,me̍h
臭,chhàu
舀,iúⁿ
舐,chīⁿ
茈,chíⁿ
茫,bâng
茫,bông
茶,tê
草,chháu
草,chhó
臭人,chhàu-lâng
草人,chháu-lâng
臭丸,chhàu-oân
茶山,tê-soaⁿ
舀水,iúⁿ-chúi
茶心,tê-sim
茶心茶,tê-sim-tê
茶心粕,tê-sim-phoh
臭火焦,chhàu-hóe-ta/chhàu-hé-ta
臭火燒,chhàu-hóe-sio/chhàu-hé-sio
臭火薰,chhàu-hóe-hun/chhàu-hé-hun
草仔,chháu-á
茶仔油,tê-á-iû
臭奶呆,chhàu-leng-tai/chhàu-ni-tai
茭白筍,kha-pe̍h-sún
草地,chháu-tē/chháu-tōe
草地人,chháu-tē-lâng/chháu-tōe-lâng
臭老,chhàu-lāu
茶米,tê-bí
臭汗酸,chhàu-kōaⁿ-sng
臭耳甕仔,chhàu-hīⁿ-àng-á/chhàu-hī-àng-á
臭耳聾,chhàu-hīⁿ-lâng/chhàu-hī-lâng
臭屁,chhàu-phùi
臭屁仙,chhàu-phùi-sian
臭尿薟,chhàu-jiō-hiam/chhàu-liō-hiam
臭豆腐,chhàu-tāu-hū
茶店仔,tê-tiàm-á
茶杯,tê-poe
臭油,chhàu-iû
茶油,tê-iû
臭油垢,chhàu-iû-káu
航空,hâng-khong
舀肥,iúⁿ-pûi
臭腥仔,chhàu-chheⁿ-á
脆柿,chhè-khī
臭柿仔,chhàu-khī-á
茯苓糕,ho̍k-lêng-ko
臭面,chhàu-bīn
臭風,chhàu-hong
草厝仔,chháu-chhù-á
草埔,chháu-po͘
草索仔,chháu-soh-á
茭荖仔,ka-ló-á
草窒仔,chhó-that-á
茶莊,tê-chng
草魚,chháu-hî/chháu-hû
臭喙角,chhàu-chhùi-kak
臭殕,chhàu-phú
臭焦,chhàu-ta
草猴,chháu-kâu
草絪,chháu-in
草菇,chháu-ko͘
茶園,tê-hn̂g
臭塗味,chhàu-thô͘-bī
臭溝仔,chhàu-kau-á
茶滓,tê-tái
臭煬,chhàu-iāng
臭腥,chhàu-chhèⁿ/chhàu-chhìⁿ
臭腥公,chhàu-chheⁿ-kong/chhàu-chhiⁿ-kong
茶葉,tê-hio̍h
臭跤液,chhàu-kha-sio̍h
茶鈷,tê-kó͘
茶箍,tê-kho͘
草蓆,chháu-chhio̍h
草蜢公,chháu-meh-kong
草蜢仔,chháu-meh-á
臭酸,chhàu-sng
臭彈,chhàu-tōaⁿ
草寮仔,chháu-liâu-á
茶盤,tê-pôaⁿ
草蔬,chháu-se
草蝦,chháu-hê
臭賤,chhàu-chiān
草鞋,chháu-ê/chháu-ôe
草橄欖,chhó-kan-ná
茶甌,tê-au
臭頭,chhàu-thâu
茶館,tê-koán
臭頭雞仔,chhàu-thâu-ke-á/chhàu-thâu-koe-á
臭臊,chhàu-chho
茈薑,chíⁿ-kiuⁿ
臭薟薟,chhàu-hiam-hiam
草鍥仔,chháu-keh-á/chháu-koeh-á
臭羶,chhàu-hiàn
草藥,chháu-io̍h
臭藥丸仔,chhàu-io̍h-oân-á
草霸王,chháu-pà-ông
茶欉,tê-châng
茶罐,tê-koàn
荏,lám
荒,hng
衰,soe
袂,bē/bōe
衰䆀,soe-bái
袂䆀,bē-bái/bōe-bái
袂歹,bē pháiⁿ/bōe pháiⁿ
袂用得,bē-ēng-tit/bōe-ēng-tit
袂合,bē ha̍h/bōe ha̍h
袂收山,bē-siu-soaⁿ/bōe-siu-soaⁿ
衰尾,soe-bóe/soe-bé
衰尾道人,soe-bóe-tō-jîn/soe-bé-tō-lîn
荏身,lám-sin
袂見笑,bē-kiàn-siàu/bōe-kiàn-siàu
袂使,bē-sái/bōe-sái
袂使得,bē-sái-tit/bōe-sái-tit
袂和,bē-hô/bōe-hô
荔枝,nāi-chi
袂直,bē-ti̍t/bōe-ti̍t
袂按算,bē àn-sǹg/bōe àn-sǹg
袂赴,bē-hù/bōe-hù
袂食袂睏,bē-chia̍h-bē-khùn/bōe-chia̍h-bōe-khùn
荒埔,hng-po͘
