"This dataset is free to use, share, and modify under the terms of the GNU General Public License as published by the Free Software Foundation, either version 3 of the License, or (at your option) any later version.\nThis dataset is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.\nYou should have received a copy of the GNU General Public License along with this dataset. If not, see <https://www.gnu.org/licenses/>.\n\nCopyright (C) 2025 [Cyber O͘-hîm ki-tē]"
Translation,Taigi
"Redefining intelligence by acknowledging AI's strengths allows us to maintain our sense of human uniqueness. As anthropologist Joe Henrich argues, we adapt our self-concept based on the technological and cultural environment we inhabit. Just as humans have historically adapted to 'technology' by learning new cultures for survival, we can readjust our psyche in the age of AI. We won't be replaced; instead, we'll be the managers and orchestrators of AI's summarization capabilities, leading to richer life goals.",Kā AI ê 能力掠外看待來 koh 再定義智力，會當 hō͘ 咱維持人類獨特性 ê 感覺。親像人類學家 Joe Henrich 所講，咱會 tòe 咱存在 ê 科技 kap 文化環境，來調整自我概念。若像往過人類經由學習新 ê 文化 適應「科技」來生存，咱會當 tī AI ê 時代，koh 來調整咱 ê 心理。咱 m̄-nā bē 去 hō͘ 替換，顛倒咱會是AI 總結能力 ê 管理員 kap 安排者，按呢來致到 khah 豐沛 ê 人生目標。
"AI like ChatGPT is not here to replace us. While some summarization-based jobs may be disrupted, it also creates opportunities for humans to utilize their unique strengths. We can leverage this technology, collaborating with AI to create a beautiful, rich, and positive cultural evolution, without fixating on unfounded risks and shortcomings.",親像 ChatGPT 這款 ê AI，毋是來替換--咱 ê。雖罔一寡做概要 ê 飯碗凡勢會去 hō͘ 創亂--去，不而過，伊 mā 會創造機會 hō͘ 人 thang 發揮獨特 ê 人 ê 優勢。咱會當利用這項科技，參 AI 合作，來成造美麗、豐沛 kap 正面 ê 文化演化，毋免 ti-leh 執著無的確个風險 kap 欠點。
"OpenAI's GPT-4 is really taking off these days, let's see what their boss has to say.",這幾工 OpenAI ê GPT-4o 誠 chhèng (衝)，來看 in 頭家按怎講。
"""Sam Altman talks about GPT-4 and predicts the future of AI"" (Summary)",《 Sam Altman 講 GPT-4o，koh 料算 AI 未來 》（概要）
"OpenAI's CEO, Sam Altman, discusses the current milestone of the GPT-4 series, which is the addition of multimodal capabilities that allow for text, audio, and image input.",OpenAI ê CEO (執行長），Sam Altman，討論著 GPT-4 系列現此時 ê 路站碑，亦 tō 是加添有才調 hāⁿ (迒) 文字、音聲 kap 圖像輸入 ê multimodal (má-thí-mó͘-to͘h/多模) 功能。
"He emphasizes that the voice interface is able to have natural and engaging conversations, which is a significant advancement.",伊強調，話音介面有才調開講 kah 遐 lián-tńg (輾轉)，按呢生 ê 自然對話體驗，是關要進步。
"* Key points in the development of OpenAI's AI model: - Altman believes that the development of AI models will be gradual improvements, not like the GPT-5 that everyone expects, a sudden release of a breakthrough model, and there will be no detailed version number to indicate the improvements (author's note: it means that the same model is constantly being adjusted, but no different version numbers are shown to you).",＊OpenAI tī AI model（má-to͘h/模型） 發展 ê 一寡要點：- Altman 認為 AI model  ê 發展會是沓沓仔改善，毋是像逐家想--ê GPT-5 彼款，雄雄有一支足突破 ê 大尾 model 發布，mā 袂有講到底是改良 kah 第幾版 ê 詳細號碼 (本人註：是講仝一支 model 直直小可 leh 調整，毋過無 kā 無仝 ê 版本號 show hō͘ 你知）。
"- By greatly improving AI efficiency, they will be able to provide the latest models to users for free, allowing more people to access them, which is a very important goal for OpenAI.",- Kā AI 效率大額提升，hō͘ in 會當 kā 上新 ê model 提供 hō͘  使用者免費來用，hō͘ 較濟人有 thang 接觸是 OpenAI 誠要緊 ê 目標。
"- He believes that general reasoning ability, that is, the ability to move to new areas, is more important than models that are specifically designed for a specific area.",- 伊相信通用推理能力，tō͘ 是會當四界徙去新領域 ê 能力，比規 sian (先) 專門 tī 特定範圍 ê model 較要緊。
"- Breakthroughs in AI research are difficult to predict, unlike engineering schedules, which can be planned, but there will be occasional breakthroughs.",- AI ê 研究突破較袂料算--得，無像工程時間表有法度排，不而過有當陣仔 koh 會雄雄有進步 chông (傱)--出來。
* Future development direction and impact of AI: - Natural language should continue to be the primary means of communication between humans and AI in the near future.,＊AI ê 未來發展方向 kap 衝擊： - 自然語言應該 tī 一站仔--ni̍h，會繼續做人類 kap AI 中間主要 ê 溝通法度。
"- As AI models become more and more capable, personalized, unique personal AI assistants are likely to be better than directly mixing the identities and needs of all users.",- AI model 愈來愈 gâu 這當陣，個人化、獨獨有 ê 個人 AI 助理，凡勢較贏直接 kā 所有使用者 ê 身分 kap 需求 lóng-chóng kiáu (攪) 做伙。
"- Everyone will need AI functions more and more, also because the cost of AI is getting lower and lower, so the infrastructure of AI needs to be prepared enough to be used. (Author's note: Taiwan is good at making hardware systems, but there is no place for Taiwan to compete in making models.)",- 逐家會愈來愈需要 AI ê 功能，mā 因為 AI ê 成本愈來愈低，所擺 AI ê 基礎設施愛準備 kah 足 chē 足 chē，才有夠 thang 用。（本人註：做硬體系統 个 台灣佗是趁這，做 model 台灣無地拼。）
- Creative and artistic work is a new frontier created by generative AI models. (Author's note: This is also what creative workers around the world are worried about.),- 創意 kap 藝術工課是 seng-sêng (生成) 式 AI model lòng (挵)--出來 ê 新前沿。(本人註：這 mā 是全世界創意工作者 tng leh 煩惱--ê)
"- University education should incorporate AI tools, like computers, to enable students to learn new skills. (Author's note: It seems that all education needs this, but it has to start with adjusting the mindset of the educators themselves.)",- 大學教育應該愛 kā AI 工具摻--入去，若 chhan-chhiūⁿ (親像) 電腦仝款，hō͘ 學生 有 thang 學習新 ê 能力。(本人註：凡勢所有教育 lóng 愛，m̄-koh 愛 tùi 教育者本身觀念調整來起頭)
"*Altman discusses the potential dangers of AGI development: - The risk level of AI models leading to disasters may require some ways to manage or supervise them, just like controlling nuclear weapons.",＊Altman 討論 AGI 發展 ê 潛在危險： - AI model leh 近倚有法度致使災難 ê 風險程度，凡勢需要有某一寡法度來 kā 管理 iah-sī 監督，親像管制核武器烏白用烏白湠按呢。
"- The possibility of AGI suddenly emerging is not ruled out. There is no guarantee that AGI will quickly improve itself, but it is more likely to change gradually over a few years.",- 無排除 AGI (Artificial general intelligence/人造萬用智能）一下子 tō͘ liòng (躘)--起來 ê 光景，無定著 AGI 足緊 tō 家己 kā 家己改進，m̄-koh 較有可能是幾冬內慢慢仔改變。
"- Even if AI capabilities advance greatly, the relationships between people and the unique value of consciousness are likely to remain the domain of humanity itself.",- 準講 AI ê 才調大額進步，人 chham 人 ê 關係 kap 意識 ê 獨特價值，凡勢猶原是人類家己 ê 領域。
In conclusion: Altman avoids detailed content but hints that OpenAI's organization and management will indeed change this year to better address the challenges of AGI development.,煞尾： Altman 走閃詳細內容，m̄-koh 暗示 OpenAI ê 組織 kap 管理無的確今年會改--一下，來 hō͘ 較順序面對 AGI 發展 ê 挑戰。
"At this critical juncture, he stands at the forefront of AI advancement and feels a profound sense of meaning, which motivates him to continue moving forward.",這个關要坎站，伊徛 tī AI 進步 ê 前沿，感受著真重大 ê 意義，這 hō͘ 伊繼續有動力來向前行。
-----,-----
"You can/may go?  It is not allowed to smoke here.  If you work hard, you can succeed.  I can go to Taipei tomorrow.  He/She can speak Taiwanese.",你會使去--無？  遮袂使食薰。 若你拍拚，你會當成功。  明仔載我會當去台北。  伊會曉講台語。
I don't know how to do this task.  I must/have to/need to go to school.  You should do this task.  I want to/plan to go to the market.  What would you like to eat?,我袂曉做這項代誌。 我愛去學校。 你愛做這項代誌。 我欲去菜市仔。 你欲食啥物？
This knife can be used to cut meat.  Taiwanese is useful.  Don't talk. / Not talking.  Not going to talk. / Will not talk.  Won't talk. / Don't want to talk.,這枝刀仔會用得切肉。 台語有路用。 無講。 袂講。 M̄ kóng. (毋講。)
Don't talk!  No need to talk.  Do not talk!  You cannot/may not go.  He/She cannot come. (due to some reason),Mài kóng! (莫講！)  Bián kóng. (免講。)  M̄-thong kóng! (毋通講！)  你袂使去。 伊袂當來。
"He/She cannot swim.  He/She cannot drive. (e.g., doesn't have a car or license)  He/She is not capable of running fast.  Do you have money?  Is it far to Kaohsiung?",伊袂曉泅水。 伊無法度駛車。 伊無才調走緊。 你有錢—無？  去高雄有遠—無？
Is the orange sweet?  Would you be angry?  Do you want to eat?  Do you want to go to Kaohsiung?  Do you really have money?,柑仔會甜—-袂？  你會受氣—-無？  你欲食—無？  你欲去高雄—-毋？)  你敢有錢？
"Would you really be angry?  Do you really want to go to Kaohsiung?  Is it really okay like this?  You want to play ball, don't you?  Isn't this matter your doing?",你敢會受氣？  你敢欲去高雄？  按呢敢好？  你欲去拍球—-乎？  代誌毋是你做的—-乎？
"Don't you have any money?  You won't be angry, will you?  Don't you want to go to Kaohsiung?  Isn't it good like this?  Who?",你敢無錢？  你敢袂受氣？  你敢無欲去高雄？  按呢敢毋好？  Siánn-lâng? (啥人？) / Siánn-mih lâng? (啥物人？)
When?  Where?  What?  How?  Why?,Tang-sî? (當時？) / Siánn-mih sî-chūn? (啥物時陣？)  Tó-uī? (佗位？) / Siánn-mih só͘-chāi? (啥物所在？)  Siánn-mih? (啥物？)  Án-tsuánn? (按怎？) / Beh án-tsuánn? (欲按怎？)  Sī án-tsuánn? (是按怎？) / Sī án-tsuánn? (是按怎？)
I give you a book.  Father drove my elder brother out.  Mom helps us take care of the kids.  (You) close the door.  (You) listen carefully to me.,我共你予一本冊。 阿爸共大兄趕出去。 阿媽共阮鬥顧囡仔。 (你)共門--關起來。)  (你)共我聽予斟酌。
"(You) catch the people and bring them to me.  to pour, kā can indicate either giving to or doing something for someone.  He/She gave me candy. or He/She gave candy to me.  He/She poured me tea. or He/She poured tea for me.  He/She borrowed money from me.","共人掠--來。 予 kap thîn(斟) (Giving and Pouring): With verbs like hō͘ (予) - to give, and thîn (斟)  伊予我糖仔。 伊共我斟茶。 伊共我借錢。"
He/She bought a car from me.  He/She robbed me of my bag.  He/She poured me a cup of tea.  A-bêng handed me two books.  The clothes were washed clean by him/her.,-伊共我買車。 I kā guá chhiúⁿ(搶) phīⁿ-pau-á. (伊共我搶皮包仔。)  伊斟一甌茶予我。 阿明提兩本冊予我。 衫予伊洗清氣。
Things must be done well.  He/She was beaten and bleeding.  You must finish your meal before going out to play.  Let him/her die.  Let him/her die.,代誌著發落予好勢。 伊予人摃甲流血。 飯著食予了，才會當出去耍。 予伊死。 予死。
I eat rice.  I am eating rice.  I have eaten rice. 	I have been eating rice for a while.  I ate rice.,我食飯。 我咧食飯。 / 我當咧食飯。 我有食飯矣。 我咧食飯(有)一站仔矣。 我食飯矣。
I was eating rice. 	I had eaten rice.  I had been eating rice for a while.  I will eat rice.  I will be eating rice.,彼當陣我咧食飯。 彼當陣我食飯煞矣。 彼當陣 +咧 (leh) + Verb + 一段時間/一站仔 + 矣 (ah)	彼當陣我咧食飯有一站仔矣。 我欲食飯。/ 我會食飯。  我會咧食飯。
I will have eaten rice.  I will have been eating rice for a while.  This knife is sharper than that one.  This knife is sharper than that one.  I am half a head taller than him/her.,會 (ē) + Verb +了 (liáu) / 煞 (sat) + 矣 (ah)	我會食飯煞矣。 會 (ē) + Verb + 一段時間/一站仔 + 矣 (ah)	我會食飯一站仔矣。 這枝刀仔比彼枝較利。 這枝刀仔較利彼枝。 我懸伊半粒頭。
I am one year older than him/her. / He/She is one year younger than me.   A-bêng is the tallest in our class.   Go!  Don't talk!  Please sit down.,我加伊一年。/ 伊減我一年。 阮這班阿明仔上蓋懸。 去！ 莫講！ 請坐。
"Go, okay?  Speak quickly!  I don't want to blame him, but he is getting more and more excessive. (Here, hó-khoán(好款) literally means good, but it is used ironically to mean bad.)  I lost so much money on my investment, I must thank you for 'helping me out'. (Here, khan-khioh(牽抾) literally means mentoring, but it is used ironically to mean giving wrong advices.)  If it comes to minding other people's business, you are really 'number one'. (Here, tē-it miâ literally means first place, but it is used ironically to criticize the person's meddling.)",去--啦！  緊講！  無欲講伊，伊煞那來那「好款」  我投資了遐濟錢，攏愛感謝你共我「牽抾」 若講著雜插，你正港是「第一名」。
"Brother, you are so 'filial' to have Dad going to a nursing home. (Here, ū hàu literally means filial, but it is used ironically to criticize the brother's lack of filial piety.)  My wife/husband is damn beautiful. (Juxtaposes beautiful with damn for emphasis.)  You wear this dress so beautifully that you will be damned. (Juxtaposes beautiful with damned for humorous effect.)  store  small store",阿兄你誠實有夠「有孝」，阿爸予你「有孝」甲去蹛療養院。 牽--ê「夭壽」媠。)  你穿這軀衫媠甲欲「哭爸」去。 tiàm (店)  tiàm-á (店仔)
"temple  small temple  over ten years old a little over ten years old (not exceeding 14)  sweetheart, lover",biō (廟)  biō-á (廟仔)  tsa̍p gōa hòe (十外歲)  tsa̍p gōa hòe-á (十外歲仔)  sim-kan-á (心肝仔)
"girl (more endearing than just cha-bó͘)  baby  first grader  A-chu (nickname, more intimate)  small container",cha-bó͘ gín-ná (查某囡仔)  âng-eⁿ-á (紅嬰仔)  tha̍k tsi̍t-nî-á (讀一年仔)  A-chu-á (阿珠仔)  khok-á (觳仔)
spring  clam  door curtain  diaper  sister-in-law,king-á (弓仔)  lî-á (蜊仔)  mn̂g-lî-á (門籬仔)  tsū-á (尿苴仔)  tâng-sāi-á (同姒仔)
"pickpocket  clapping  Chinese cabbage sprouts  a few, some  a little while, for a moment",tsián-liú-á (剪綹仔)  phah-pho̍k-á (拍噗仔)  ko-lê-tshài-ínn-á (高麗菜穎仔)  tsi̍t-kóa-á (一寡仔)  tsi̍t-ē-á (一下仔)
"slightly, a little bit  just a little, slightly  a short while, a moment  smile slightly  slightly bumped",sió-khuá-á (小可仔)  tām-po̍h-á (淡薄仔)  tsi̍t-tak-kú-á (一觸久仔)  微微仔笑  略略仔挵著
speak slowly  walk evenly  insist on doing  The orange is indeed sweet.  This one is definitely not beautiful.,聊聊仔講  勻勻仔行  干干仔欲  柑仔有甜。 這个無媠。
I did go to the meeting.  He/She did not go to the exam.  Wearing jeans is indeed more durable.  The Epiphyllum is so beautiful it takes your breath away.  I did see that road.,我有去開會。 伊無去考試。 拍鐵仔褲較有穿。 瓊花媠甲欲「哭爸」去。 我有看著彼條路。
My sister did not receive the gift.  He/She has been with the company for thirty years.  A-bêng is not able to do things.  He/She cannot understand this book.  He/She could not find that road.,阿姊無分著禮物。 伊佇公司蹛有三十冬矣。 阿明做無代誌。 伊看無這本冊。 伊揣無彼逝路。
"Shall we go to Taitung to play?  Okay! Let's go eat.  Don't eat so fast, eat slowly! (Here, lâi represents the action of eating.)  Do it slowly and it will be fine.  It can be done. / It is possible to do it.",咱來去台東𨑨迌好無？ 行！咱來去食飯。 莫食遐緊，沓沓仔來！ 寬寬仔來就好。 做會來。
"It cannot be said. / It is impossible to say it.  Don't ask anymore, I don't know.  She is a rich lady, we can't compare to her.  I understand this truth. We should not always compare ourselves with others.  We are getting paid tomorrow.",講袂來。 你莫 koh 問矣，人毋知啦。 伊是千金小姐，咱佮人袂比--得。 人了解這款道理矣，咱人莫定定佮人比並。 咱明仔載欲領月給矣。
"(Telephone conversation:) May I ask who is looking for (someone)?  (Restaurant waiter:) May I ask how many of you there are in total, do you have a reservation?  Say it quickly! (Emphasis on say)  Don't go! (Emphasis on go)  You do it first. (You take the lead.)",(Telephone conversation:) 請問咱佗位欲揣？ (Restaurant waiter:) 請問咱攏總有幾位，敢有訂桌？  緊講--啦你。 莫走--啦你。 你做代先。
"I have never been to Taipei. (Emphasis on Taipei)  The orange is sweet. (Implies very sweet or a high degree of sweetness)  I'm not stupid. (Implies I'm not stupid enough to lend you money.)  The chicken butt is very fragrant. (Implies You wouldn't dare to eat it, even though it's fragrant.)  The young man is handsome. (Sarcastically implies he is unattractive, but Amey will still marry him.)",台北我毋捌去過。  柑仔有甜。  我都無咧戇 koh 。  雞尾脽誠芳講。  後生䆀甲講。
"You and I will go to the market.  I am full, and I want to go play.  Because I don't have money, I can't buy anything.  If you want to go, I will go with you.  Although he/she is very clever, he/she has no conscience.",我佮你欲去菜市仔。  我食飽矣，koh 欲去耍。  因為我無錢，所以袂當買物件。  若你欲去，我就佮你去。  雖然伊真𠢕，毋過伊無良心。
"I am at school.  I am studying in the house.  I came from Taipei.  He/She leaves home in the morning.  at, in, on",我佇學校。 我佇厝內讀冊。 我對台北來。 伊佇早起出門。 tī (佇)
"from, to, against  with, and  to, for, by  besides, except for  within, inside",tuì (對)  kap (佮)  hō͘ (予)  í-gōa (以外)  í-lāi (以內)
"above, more than  below, less than  before, in front of  after, behind  on top of, above",í-siōng (以上)  í-hā (以下)  chêng (前)  āu (後)  téng (頂)
"under, below  inside, within  outside  in front of, before	  behind, after",ē-kha (下跤)  lāi (內)  gōa (外)  頭前 (thâu-chêng)  後壁 (āu-piah)
"above, on top of	  below, under	  inside, within	  outside	  in front of",頂懸 (tíng-koân)  下跤 (ē-kha)  內底 (lāi-té)  外口（gōa-kháu)  佇頭前 (tī thâu-chêng)
behind	  above	  below	  inside	  outside,佇後壁 (tī āu-piah)  佇頂懸 (tī tíng-koân)  佇下跤 (tī ē-kha)  佇內底 (tī lāi-té)  佇外口（tī gōa-kháu)
walk in front	  squat behind	  put on top	  search below	  sit inside,頭前行 (thâu-chêng kiâⁿ)  後壁跍 (āu-piah khú)  頂懸囥 (tíng-koân khǹg)  下跤揣 (ē-kha chhōe)  內面坐 (lāi-bīn chē)
"play outside	  above, on top	  The book is on the table.	  The airplane is flying in the sky.	  Put the thing on top.",外口耍（gōa-kháu sńg) 1. 頂頭 (tíng-thâu) 冊囥佇桌頂頭。 飛行機飛佇天頂頭。 物件囥頂頭。
"The bird is flying overhead.	  outside, outdoors	  He/She is playing outside.	  It is raining outside.	  The child ran outside.",鳥仔飛頂頭。 2. 外口 (gōa-kháu) 伊佇外口耍。 外口落雨。 囡仔走外口。
"It's very cold outside.	  in front of, before	  He/She is standing in front.	  Clear the way in front.	  Walk in front.",外口真寒。 3. 頭前 (thâu-chêng) 伊徛佇頭前。 佇頭前開路。 頭前行。
"Lead the way.	  behind, after	  I put the book behind.	  Line up behind.	  Squat behind.",頭前𤆬路。 4. 後壁 (āu-piah) 我將冊囥佇後壁。 佇後壁排隊。 後壁跍。
"Follow behind.	  below, under	  The thing fell on the ground.	  The cat is hiding under the bed.	  Search below.",後壁綴。 5. 下跤 (ē-kha) 物件落佇下跤。 貓覕佇眠床下跤。 下跤揣。
"The water flows down.	  inside, within	  He/She is hiding inside.	  Play inside.	  Sit inside.",水流下跤。  6. 內底 (lāi-té) 伊覕佇內底。 佇內底耍。 內底坐。
It's very dark inside.	  outside	  I'll wait for you outside.	  It's very hot outside.	  Play outside.,內低誠暗。 7. 外口/外面 我佇外口等你。 外口足熱。 外口耍。(Gōa-kháu sńg.)
"Walk outside.	  beside, next to	  He/She is sitting next to me.	  Walk along the side of the road.	  Stand beside.",外口行。(Gōa-kháu kiâⁿ.)  8. 邊仔 (piⁿ-á) 伊坐佇我邊仔。 佇路邊仔行。 邊仔徛。(Piⁿ-á khiā.)
"Sit next to.	  in the middle, in the center	  He/She is standing in the middle.	  Draw a line in the middle.	  Divide in the middle.",邊仔坐。(Piⁿ-á chē.)  9. 中央 (tiong-ng) 伊徛佇中央。 佇中央畫一條線。 對中央分開。
"Put it in the center.	  nearby, in the vicinity	  He/She lives near the school.	  Look around nearby.	  Take a walk nearby.",囥佇中央。(Tiong-ng khǹg.)  10. 附近 (hù-kīn) 伊蹛佇學校附近。 佇附近揣看覓。 附近行行--leh。
"What's good to eat nearby?	  above, on top	  The book is on the table.	  The airplane is flying in the sky.	  Put the thing on top.",附近有啥物好食--ê？  11. 頂懸 (tíng-koân) 冊囥佇桌頂懸。 飛行機飛佇天頂懸。 物件囥頂懸。
"The bird is flying overhead.	  before, previously	  You must wash your hands before eating.	  You must prepare well before the exam.	  I used to live in Taipei.",鳥仔飛頂懸。 12. 進前 (chìn-chêng) 佇食飯進前愛洗手。 佇考試進前愛好好仔準備。 進前我蹛佇臺北。
"He/She used to be very playful.	  after, afterwards	  Eat fruit after you are full.	  Go find a job after graduating.	  I will go play afterwards.",進前伊真𠢕耍。 13. 了後 (liáu-āu) 佇食飽了後才食果子。 佇畢業了後就去揣頭路。 了後我欲去𨑨迌。
"He/She never appeared again afterwards.	  before, in front of	  I don't dare to speak in front of him/her.	  Wait in front of the door.	  previous life",了後伊就無 koh 出現。 14. 前 (chêng) 佇伊面頭前，我毋敢講話。 佇門前等。 前世　chêng-sè
"after, behind	  Plant trees behind the house.	  the day after tomorrow	  If it rains, the event will be canceled.  I wish I could travel around the world.",15. 後 (āu) 佇厝後種樹仔。 後日　āu--ji̍t  若落雨，活動佗會取消。 我向望我會當環遊世界。
"I had the mechanic fix the car.  The car was repaired by the mechanic.  If you don't make it to the last train, you can stay at his place for the night.  It's so dark, it might rain later.  Maybe he's the one who did it.",我叫師傅修理這台車。 這台車予師傅修理。 檢采赴袂著尾幫車，你就留蹛 in 兜隔暝好矣。 天遐爾仔烏，等咧凡勢會落雨。 無定著彼件代誌就是伊做的。
"I may have to work late today.  You can't say anything until you're sure.  He must have caught a cold, that's why he didn't come today.  You're so talented, if you enter   Can I borrow your book?",我今仔日無的確會加班。 的確的代誌才通講。 伊的確是去寒著，今仔日才無來。 你遐 gâu(𠢕)，若參加比賽，百面贏的。 我會使借你 ê 冊--無？
You may leave now.  Could you please open the window?  I can speak Taiwanese.  She could play the piano when she was young.  It might rain later.,你會當轉--去 ah。 你會當 kā 窗仔開--開無？ 我會曉講台語。 伊細漢 ê 時會曉彈鋼琴。 較停仔檢采會落雨。
He may be at home.  We must leave now.  You have to study hard for the exam.  He should call his mother more often.  You should eat more vegetables.,伊凡勢 tī 厝--ni̍h。 咱愛轉--去矣。 你愛拼勢準備考試。 伊愛定定敲電話予阿母。 你應該食較濟菜蔬。
We ought to go to bed early tonight.  You must not smoke here.  We cannot go out because of the typhoon.  He must be very tired.  They should be arriving soon.,咱今暝 to̍h 愛早早去睏。 遮袂使食薰。 因為風颱，咱袂當出門。 伊定着有影足忝。 In 應該得欲到--ah。
"When I was a child, I would often visit my grandmother.  I want to go into the room.  Starships heading toward the meteor belt.  Aliens are coming out of UFO lines to explore.  He came out of the house.","Gún(阮)細漢 ê 時, 定定去揣 gún(阮)阿媽。 我 beh 入去(ji̍p-khì)房間。 星艦 tùi 星石帶駛--入去(--ji̍p-khì)。 外星人 túi UFO 行出來(chhut-lâi)探查。 伊 ùi 厝--ni̍h 出--來(chhut--lâi)。"
"Climb up to the second floor.  It's dawn, time to get up.  This meteorite fell into the atmosphere.  The cat went down the stairs.  Invest the money.",Peh 起來(khí--lâi)二樓。 天光矣，愛起--來(khí--lâi)矣。 星石 poa̍h(跋)落去(--loh-khì)大氣層。 貓仔 ná 樓梯遐落--去(loh--khì)。  Kā 錢投資--落去。
"Come over here. He came in a time machine from 1896.  The rocket flies from the moon to the Mars.  I want to go over there.  From the cosmic border base, you have to use the warp jump to return to Earth.",你過來遮。 伊 tùi 1896 年坐時間機器--過來--ê。 火箭 túi 月球飛過去(kòe-khì)火星.  我 beh tùi 遐--過去(kòe--khì)。 對宇宙邊境基地轉去地球愛用 Warp 跳liòng(躘)。
He has already gone back.  What time will you be back?  Run back here.  The wind is about to start.  X-wing fighters flew up to the planetary rings to see what was going on.,伊已經轉--去矣。 你幾點仔會轉--來(tńg--lâi)？  緊走--轉來。(--tńg-lâi)  風欲起--來矣(khí--lâi)。 X-si̍t(翼)戰機飛起來(khí-lâi)到行星環看狀況。
ban it out  to climb up the tree.  From the bottom of the sea to the sky  sell it out  throw it away,禁--起來 (kìm--khí-lâi) Peh 起去(khí-khì)樹仔。 Tùi 海底飛起去(khí-khì)去天頂。 賣 hìⁿ-sak 擲 hìⁿ-sak
erase it away  He/She is eating and watching TV at the same time.  I am studying and listening to music at the same time.  He/She is walking and talking at the same time.  Counts granular objects like grains of rice or sand.,hú(拊) hìⁿ-sak 伊 ná(若)食飯，ná(若)看電視。 我 ná(若)讀冊，ná(若)聽音樂。 伊 (ná)行路，ná(若)講話。 粒 (lia̍p)
-----,-----
"The Earth's water cycle refers to the path that water takes as it moves around our planet and the ways it changes form. This process is very important because it affects the weather, climate, and life of all living things.",地球水循環，講--ê，tō 是水 tī 咱地球四界走傱 ê 路線，chham 伊變化 ê 方式。這个過程誠要緊，因為伊會影響著天氣、氣候、kap 所有生物 ê 性命。
"First, water in the oceans, lakes, rivers, and on land is heated by the sun and turns into water vapor, which is very light and rises up. This process is called ""evaporation.""",第一站，水 tī 海、湖、河、kap 塗跤，hō͘ 日頭曝 kah燒，就成做水氣，輕輕輕，chhèng(衝)--起來。這个過程號做「蒸發」。
"Plants also contribute to water evaporation. The water that their roots absorb is released into the air through their leaves, a process called ""transpiration.""",植物 mā 會鬥相共水蒸發，in ùi 植物 ê根suh(欶)--tio̍h ê 水，會 tùi 葉仔 tòe 氣空走--chhut-lâi，這號做「蒸散」。
"Second, as water vapor rises higher in the air, the temperature gets colder and colder. The water vapor then begins to condense, turning into tiny water droplets or ice crystals. These come together to form clouds.",第二站，水氣 tī 空氣--ni̍h愈來愈懸，溫度 tō 愈來愈低，水蒸氣 chŏaⁿ(就按呢)開始堅--起來，成做細粒水珠仔，抑是堅做冰晶，遮个鬥做伙，就成做雲--lo͘h。
"Third, the water droplets and ice crystals in the clouds grow bigger and bigger.  When the clouds can no longer hold their weight, the water droplets fall down as rain. If they freeze, they become snow or hail.",第三站，水珠kap 冰晶 tī 雲內底，會愈來愈大粒，雲 chŏaⁿ 無法度chih-chài(接載)這款重，水滴 to̍h 開始落--落來，變做雨。若堅做冰晶--ê，就成做雪抑是雹--ah。
"Fourth, some of the rain falls directly into the ocean, while some flows into rivers and lakes, and then from the rivers back into the ocean. Water that falls on the ground seeps into the soil and becomes groundwater, or it flows directly into streams, rivers, and lakes. Plants also absorb groundwater to help them grow.",第四站，落--落來 ê 雨水，有一部份會直接落 tī 海--ni̍h，另外有一寡會流入去河、湖，koh ùi 河--ni̍h，流轉去海--ni̍h。落 tī塗跤 ê 水，會sia̍p(洩)--入去土--ni̍h，變做地下水，抑是直接流--入去溪仔、河、湖。植物 ê 根 mā 會欶地下水，來助贊 in 生長。
"These four stages cycle over and over again.  Moreover, even though these stages take place in different locations, they still affect each other.",這四站，會一擺 koh 一擺直直循環--落去，m̄-nā án-ne，這四个站 to̍h 準講是無仝款 ê 所在，原仔是會互相影響。
"To learn more about the Earth's water cycle, please read the second part.",欲知影 khah 濟地球水循環 ê 代誌，請看第二部份。
"Now in the second part, let's talk about the importance of the Earth's water cycle in more detail.",紲--落來第二葩，咱來 kā 地球水循環 ê 重要性 koh 講予較詳細--leh。
The Earth's water cycle is not just a romantic tale of water traveling around. It's actually the foundation of life on Earth.,地球水循環 m̄-nā 是水 leh 四界𨑨迌 ê 浪漫故事 niā-niā，這正正是地球性命 ê 地基石。
"You see, the water cycle helps regulate the Earth's temperature. Seawater absorbs heat from the sun and then releases it during evaporation, preventing the Earth's climate from becoming too hot or too cold.",咱來看，水循環會 kā 地球溫度控制 hō͘ 妥當，海水會吸日頭 ê 燒熱，koh tī 蒸發 ê 時陣，kā 熱徙--走，地球 ê 氣候才袂變 kah 過頭熱，抑是過頭寒。
"The water cycle also helps transport various minerals and nutrients around the Earth, making life possible. Rainwater carries minerals washed from rocks and soil into the ocean, which are then carried to other places by ocean currents. Plants absorb these minerals from the soil, and animals eat plants. This is how the water cycle benefits all living things.",水循環 mā 會 kā 各種礦物質 kap 營養分 tī 地球四界徙來徙去，hō͘ 生物 ē-tàng 生長。雨水會 kā ùi 岩石 kap 塗跤洗--出來 ê 礦物質徙--去海--ni̍h，koh 綴海流 去 kah 其它所在。植物 ùi 塗跤欶著遮个礦物質，動物 koh食植物，水循環 chŏaⁿ 利益所有性命。
